"TC ID","Test Case Name","Preconditions","Test Steps","Expected Result","Priority","","","","","","","","","","","","","","","","","","","",""
"TC-EC-001","User speaks only silence for entire call","Active call","1. Call agent
2. Say nothing for 60 seconds","Agent re-prompts after timeout; ends gracefully after max retries","High","","","","","","","","","","","","","","","","","","","",""
"TC-EC-002","Extremely long agent response (1000 words)","LLM configured","1. Ask open-ended question that generates very long answer","TTS handles long response; no truncation without notification","Medium","","","","","","","","","","","","","","","","","","","",""
"TC-EC-003","Agent receives call exactly at midnight timezone boundary","Agent with scheduled hours","1. Call at exactly midnight in configured timezone","Agent handles boundary; correct schedule applied","Medium","","","","","","","","","","","","","","","","","","","",""
"TC-EC-004","Unicode and emoji in system prompt","Agent config","1. Enter emoji and non-ASCII text in system prompt
2. Save","Prompt saved correctly; no encoding errors","Medium","","","","","","","","","","","","","","","","","","","",""
"TC-EC-005","Agent configured with 0 max tokens","LLM settings","1. Set max_tokens to 0
2. Save and test call","System prevents invalid config or applies minimum","Medium","","","","","","","","","","","","","","","","","","","",""
"TC-EC-006","Duplicate agent names","Agent creation","1. Create two agents with identical names","System allows or warns; unique IDs always assigned","Low","","","","","","","","","","","","","","","","","","","",""
"TC-EC-007","Call disconnects mid-sentence","Active call","1. Abruptly kill call in middle of agent TTS response","Partial audio stops; session cleans up; transcript saved as partial","High","","","","","","","","","","","","","","","","","","","",""
"TC-EC-008","Agent prompt in RTL language (e.g. Arabic/Urdu)","Agent configured","1. Set system prompt in Urdu/Arabic
2. Make call","RTL text handled correctly in UI display and TTS output","Medium","","","","","","","","","","","","","","","","","","","",""
"TC-EC-009","Concurrent identical agent config edits","Two browser tabs","1. Open same agent in two tabs
2. Edit and save from both","Last-write-wins or conflict warning; no silent data loss","High","","","","","","","","","","","","","","","","","","","",""
"TC-EC-010","Phone number in multiple active agents","Two agents, same number","1. Assign same phone number to two agents","System blocks duplicate assignment or routes correctly","High","","","","","","","","","","","","","","","","","","","",""
"TC-EC-011","API call with expired token","Expired JWT","1. Make API call with expired token","401 Unauthorized; token refresh prompted","High","","","","","","","","","","","","","","","","","","","",""
"TC-EC-012","Zero-duration call (instant hangup)","Active agent","1. Call and hang up within 1 second","Call entry created with 0s duration; no crash; transcript empty","Medium","","","","","","","","","","","","","","","","","","","",""
