"MEERA VOICE AGENT PLATFORM Comprehensive QA Test Case Suite Product Prepared by","meera-stage.shunyalabs.ai Yamini Singh (QA Engineer)","","","","","","","","","","","","","","","","","","","","","","","",""
"Date","June 2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Version","1","","","","","","","","","","","","","","","","","","","","","","","",""
"PRIORITY LEGEND","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Must test before any release. Blockers.","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST SUITE SUMMARY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test Area","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Authentication & Login","6","6","7","19","","","","","","","","","","","","","","","","","","","","",""
"2. Agent Builder / Configuration","10","6","3","19","","","","","","","","","","","","","","","","","","","","",""
"3. Voice Call / Telephony","10","6","5","21","","","","","","","","","","","","","","","","","","","","",""
"4. Knowledge Base & Prompt Config","5","4","","9","","","","","","","","","","","","","","","","","","","","",""
"5. Analytics & Dashboard","7","0","3","10","","","","","","","","","","","","","","","","","","","","",""
"6. Integrations & Webhooks","5","0","4","9","","","","","","","","","","","","","","","","","","","","",""
"7. UI / UX","12","0","0","12","","","","","","","","","","","","","","","","","","","","",""
"8. Performance","6","0","0","6","","","","","","","","","","","","","","","","","","","","",""
"9. Edge Cases","12","0","0","12","","","","","","","","","","","","","","","","","","","","",""
"10. Security (General/Advanced)","0","0","15","15","","","","","","","","","","","","","","","","","","","","",""
"TOTAL","73","22","37","132","","","","","","","","","","","","","","","","","","","","",""
