"TC ID","Test Case Name","Preconditions","Test Steps","Expected Result","Priority","Test Case Type","","","","","","","","","","","","","","","","","","",""
"TC-AU-001","Valid login with email & password","User exists in system","1. Open login page
2. Enter valid email
3. Enter correct password
4. Click Login","User is logged in; redirected to dashboard","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AU-002","Login with Google SSO","Google account linked","1. Click ""Continue with Google""
2. Authenticate on Google consent screen","Redirected to VAP dashboard with session token set","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AU-003","Session persistence across tabs","User is logged in","1. Open app in Tab 1
2. Open app in Tab 2","Same session active; no re-login required","Medium","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AU-004","Logout clears session","User is logged in","1. Click avatar/profile
2. Click Logout","Session token deleted; user redirected to login page","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AU-005","Password reset via email link","Valid registered email","1. Click ""Forgot Password""
2. Enter registered email
3. Open reset link in email
4. Set new password","Password updated; user can log in with new password","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AU-006","Remember Me functionality","User has ""Remember Me"" option","1. Check ""Remember Me""
2. Login
3. Close and reopen browser","User session persists without re-login","Medium","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AU-101","Login with wrong password","User account exists","1. Enter valid email
2. Enter incorrect password
3. Click Login","Error: ""Invalid credentials"" shown; login blocked","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AU-102","Login with unregistered email","N/A","1. Enter non-existent email
2. Enter any password","Error: ""Account not found"" shown; no account enumeration","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AU-103","Blank email and password submission","N/A","1. Leave both fields blank
2. Click Login","Validation errors: both fields required","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AU-104","Password field accepts only spaces","N/A","1. Enter valid email
2. Enter only whitespace in password","Login fails; whitespace-only passwords rejected","Medium","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AU-105","Expired password reset link","Valid email, reset link older than expiry","1. Click old reset link","Error: ""Link expired""; prompt to request new reset","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AU-106","Account lockout after N failed attempts","User account exists","1. Enter wrong password 5+ consecutive times","Account temporarily locked; lockout message shown","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AU-201","SQL injection in login fields","N/A","1. Enter ' OR '1'='1 in email field
2. Enter any password
3. Submit","Login fails; no DB error exposed; no unauthorized access","Critical","Security","","","","","","","","","","","","","","","","","","",""
"TC-AU-202","XSS in login fields","N/A","1. Enter <script>alert(1)</script> in email
2. Submit","Input sanitized; no script executed; reflected safely","Critical","Security","","","","","","","","","","","","","","","","","","",""
"TC-AU-203","Brute force protection","N/A","1. Send 100 rapid login attempts via script","Rate limiting or CAPTCHA triggered; IPs blocked","Critical","Security","","","","","","","","","","","","","","","","","","",""
"TC-AU-204","JWT token tampering","Valid JWT token","1. Decode JWT
2. Modify payload (e.g. role: admin)
3. Re-encode and send","Request rejected with 401; tampered token not accepted","Critical","Security","","","","","","","","","","","","","","","","","","",""
"TC-AU-205","Password transmitted in plaintext","Intercept via proxy (e.g. Burp Suite)","1. Login with valid creds
2. Inspect network requests","Password not visible in request body in plaintext; HTTPS enforced","Critical","Security","","","","","","","","","","","","","","","","","","",""
"TC-AU-206","Session fixation attack","Attacker sets session ID before login","1. Set session cookie manually
2. Login","New session ID generated post-login; old ID invalidated","High","Security","","","","","","","","","","","","","","","","","","",""
"TC-AU-207","CSRF on login/logout","Valid session","1. Create external page with hidden form
2. Submit cross-origin request","CSRF token validated; cross-origin form requests rejected","High","Security","","","","","","","","","","","","","","","","","","",""
