"TC ID","Test Case Name","Preconditions","Test Steps","Expected Result","Priority","Test Case Type","","","","","","","","","","","","","","","","","","",""
"TC-AG-001","Create new voice agent with minimal config","Logged-in user","1. Click ""New Agent""
2. Enter agent name
3. Select language (e.g. Hindi)
4. Save","Agent created; appears in agent list with correct name/language","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-002","Configure agent with custom system prompt","Agent created","1. Open agent
2. Enter system prompt text
3. Save","System prompt saved; used in subsequent calls","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-003","Set STT model (Shunya Zero / Whisper)","Agent exists","1. Open agent settings
2. Select STT model
3. Save","Selected STT model saved; reflected in config","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-004","Set TTS voice and language","Agent exists","1. Open agent settings
2. Select TTS voice
3. Preview voice
4. Save","TTS voice saved; preview audio plays correctly","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-005","Configure LLM model","Agent exists","1. Open LLM settings
2. Select model (GPT-4, Claude, etc.)
3. Set temperature & max tokens
4. Save","LLM config saved; applied to agent responses","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-006","Duplicate an existing agent","Agent exists","1. Select agent
2. Click Duplicate","New agent created with same config; unique name/ID assigned","Medium","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-007","Delete an agent","Agent exists","1. Select agent
2. Click Delete
3. Confirm","Agent removed from list; no orphan data","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-008","Enable/disable agent","Agent exists","1. Toggle agent active/inactive switch","Status updates immediately; inactive agent cannot be called","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-009","Add fallback/escalation intent","Agent configured","1. Open agent flow
2. Add escalation node
3. Set transfer number
4. Save","Escalation saved; agent transfers call on trigger","Medium","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-010","Set agent greeting message","Agent exists","1. Open agent
2. Set greeting message
3. Save","Greeting message played at start of each call","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AG-101","Create agent with empty name","Logged-in user","1. Click ""New Agent""
2. Leave name blank
3. Save","Validation error: ""Name is required""","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AG-102","Agent name exceeds character limit","Logged-in user","1. Enter 500+ character name
2. Save","Error shown; input truncated or rejected","Medium","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AG-103","Save agent with no STT model selected","Agent being configured","1. Deselect all STT models
2. Save","Error: ""STT model is required"" or defaults applied","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AG-104","Set temperature to invalid value (e.g. 5.0)","Agent exists","1. Set LLM temperature to 5.0
2. Save","Validation: temperature clamped to valid range (0–2)","Medium","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AG-105","Delete active agent mid-call","Agent currently on a live call","1. Try to delete agent in use","Deletion blocked; error: ""Agent is currently active""","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AG-106","Special characters in agent name","Logged-in user","1. Enter <script>test</script> as agent name
2. Save","Input sanitized; name stored/displayed safely","High","Negative","","","","","","","","","","","","","","","","","","",""
"TC-AG-201","Access another org's agent via direct URL","User A logged in","1. Copy agent URL from Org A
2. Log in as User B (different org)
3. Visit URL","403 Forbidden; agent not accessible across orgs","Critical","Security","","","","","","","","","","","","","","","","","","",""
"TC-AG-202","System prompt injection via API","API access","1. Send crafted system prompt via API with instruction override","Agent behavior not changed by injected override text","Critical","Security","","","","","","","","","","","","","","","","","","",""
"TC-AG-203","Unauthorized agent modification via API","Valid API key","1. Use API key to modify agent config without permission scope","Request rejected with 403; scoped permissions enforced","High","Security","","","","","","","","","","","","","","","","","","",""
