"TC ID","Test Case Name","Preconditions","Test Steps","Expected Result","Priority","Test Case Type","","","","","","","","","","","","","","","","","","",""
"TC-AN-001","View call logs after completed calls","Calls have been made","1. Navigate to Analytics/Logs","All recent calls listed with timestamp, duration, status","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AN-002","Filter calls by date range","Call logs available","1. Set From and To date
2. Apply filter","Only calls within date range shown","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AN-003","View full transcript of a call","Call with transcript","1. Click a call entry
2. Open transcript","Full conversation transcript shown with speaker labels","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AN-004","Sentiment analysis shown per call","Sentiment feature enabled","1. Open a completed call","Sentiment (positive/neutral/negative) displayed","Medium","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AN-005","Export call logs as CSV","Logs available","1. Click Export
2. Select CSV format","CSV downloaded with correct columns and data","Medium","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AN-006","Real-time call monitoring","Active call in progress","1. Open live monitoring dashboard","Active call visible; transcript streaming in real time","High","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AN-007","Intent recognition results visible","Calls completed","1. Open a call record
2. View intent panel","Detected intents shown with confidence scores","Medium","Positive","","","","","","","","","","","","","","","","","","",""
"TC-AN-201","Access another org's call logs via direct API","User from Org A","1. Use Org A's token to request Org B's call logs via API","403 Forbidden; data isolation enforced","Critical","Security","","","","","","","","","","","","","","","","","","",""
"TC-AN-202","PII redaction in transcripts","Calls containing PII","1. View transcript with spoken PII (phone/PAN/Aadhaar)","PII masked/redacted in displayed transcript if configured","High","Security","","","","","","","","","","","","","","","","","","",""
"TC-AN-203","Transcript data not cached in browser","User views transcript","1. Inspect browser storage after viewing transcript","Sensitive transcript not stored in localStorage/sessionStorage","High","Security","","","","","","","","","","","","","","","","","","",""
